category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
D,818362,1,3,54,7,3,818362,0,,00dd00,,,,,0,1,,"Luke Stacko 7352",us
B,843466,1,3,54,79,,843466,0,"Team BDC",fdfdfc,7d7b7b,f38907,,,2092,1,,"Simone  Ceresara [BDC]",it
C,850596,1,3,54,46,2,850596,0,,00dd00,,,,,0,1,,"Carl Carleton",us
D,969938,1,3,54,7,2,969938,0,,00dd00,,,,,0,1,,"Jürgen Eckert",de
D,45228,1,2,54,10,3,45228,0,,00dd00,,,,,0,1,,"Peter Broesen (Spinning is winning)",dk
A,70545,1,2,54,58,,70545,0,,00dd00,,,,,0,1,,"Francisco Ramirez (MPC Wheels)",us
A,171988,1,2,54,58,,171988,0,,00dd00,,,,,0,1,,"Vincent Deschenes",ca
B,225464,1,2,54,83,,225464,0,,00dd00,,,,,0,1,,"Andrew H",gb
D,536226,1,2,54,10,1,536226,0,,00dd00,,,,,0,1,,"Paul Dickinson",gb
D,971776,1,2,54,10,2,971776,0,,00dd00,,,,,0,1,,"Barry Mark9411",gb-nir
B,130597,1,1,54,84,,130597,0,KLD,0073b7,ffffff,0073b7,,,2163,1,,"Dmitryi damynk",ru
D,399987,1,1,54,13,2,399987,0,,00dd00,,,,,0,1,,"Don Brinkhurst",ca
D,497896,1,1,54,13,3,497896,0,,00dd00,,,,,0,1,,"Mike Taylor",gb
