category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,230021,1,8,59,232,2,230021,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Jon Arnar Sigurjonsson TFC",is
C,230181,1,8,59,122,,230181,0,,00dd00,,,,,0,1,,"Kris Brosnihan",us
A,238619,2,8,59,111,3,238619,0,TTK,ea1c20,ffffff,090909,,,2304,1,,"Øyvind Bertelsen-Tangvik",no
B,255651,1,8,59,232,,255651,0,BRT,ffffff,050505,ff8100,,,4,1,,"Lee  Chalk  BRT",gb
B,284908,1,8,59,232,,284908,0,C2C,ffffff,46baf2,ff1e1e,,,2832,1,,"Paul Hopper ",gb
A,295831,1,8,59,111,,295831,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Martin Schei Rye XP",no
B,305660,1,8,59,232,2,305660,0,,00dd00,,,,,0,1,,"Clay Smith8656",us
B,397809,1,8,59,232,,397809,0,,00dd00,,,,,0,1,,"Chris Staubach",de
B,449433,1,8,59,232,,449433,0,,00dd00,,,,,0,1,,"David Simard",ca
C,462950,1,8,59,122,,462950,0,,00dd00,,,,,0,1,,"Ivo Roilev",bg
A,464061,1,8,59,111,2,464061,0,,00dd00,,,,,0,1,,"Joffrey Degueurce",fr
B,473071,1,8,59,232,,473071,0,,00dd00,,,,,0,1,,"Adam Rybczynski",pl
A,496345,1,8,59,111,,496345,0,BRT,ffffff,050505,ff8100,,,4,1,,"Alexander Chatzakis ⚡️| 🏊🏽‍🚴🏽‍🏃🏽70.3| 🇳🇱🇬🇷",gr
A,500463,1,8,59,111,,500463,0,,00dd00,,,,,0,1,,"Johan Uitt..",nl
D,513819,1,8,59,5,3,513819,0,,00dd00,,,,,0,1,,"Martin Dahl",se
C,516040,1,8,59,122,2,516040,0,,00dd00,,,,,0,1,,"Ben Weir",gb
C,638556,1,8,59,122,1,638556,0,,00dd00,,,,,0,1,,"Rafael Ferres [ZESP]",es
B,650869,1,8,59,232,,650869,0,,00dd00,,,,,0,1,,"John Cupido 4168",nl
C,659097,1,8,59,122,,659097,0,SpeedVille.de,ffffff,14ba14,ffffff,,,3190,1,,"Fey Stefan",de
